Professor_ID,Professor_Name,University,Department,Quality,Difficulty,Emotion,Class_Name,Comment,Thumbs_Up,Thumbs_Down,Review_Date
9310,Wolfgang Koerner,University of Ottawa,Political Science department,3,3,AVERAGE,POL3162,His lectures tend to be extremely dry & boring but his dry humor and his tendency to have shorter lectures can make his lectures easier to deal with. He is a very interesting & knowledgeable person. There are some inconsistencies in grading on papers but that might be the T.A. You can easily get C+ to a B+ with minimal effort,0,0,"Jun 19th, 2020"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,1,5,AWFUL,POL2107,"Im surprised by the amount of positive feedback. He basically marks arbitrarily and is hard to come by during his office hours. He cant even justify the grade that someone received which shows that hes an arbitrary marker. Also, his lectures just reiterate what a certain philosopher said.",0,0,"Jan 21st, 2020"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL2107,"Great prof, lectures are just him talking at you, but it's fairly easy to grapple with the subject matter. I didn't know we had a textbook until two weeks before the course ended it wasn't really necessary. The assignments are straightforward and relatively easy but you should probably start them a week or two in advance. Overall great experience",0,0,"Jan 17th, 2020"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,3,3,AVERAGE,POL2107,"Also confused by the amazing ratings on here. I guess it's a preference choice - if you like long lectures with no slides where the prof just reads their notes for an hour, with two evaluations all semester, then that's fine. But he makes no effort to teach other than reading his notes into the abyss, and his TA this semester was extremely rude.",0,0,"Dec 31st, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,2,3,AWFUL,POL2107,"I'm very confused about the positive feedback I've heard from other people on this prof because this was truly the most boring class I've ever taken, which was why I struggled to get a good grade- it was so hard to pay attention in class when I could motivate myself to even go. He reads his notes for the entire lecture.",0,0,"Oct 29th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,2,4,AWFUL,POL2107,"Do you like taking massive amounts of notes through hard to follow lectures, just to get handed a midterm with 6 poorly designed questions that can be answered in 2 sentences? Then this prof is for you! All seriousness, didn't enjoy class at all. It's nice he ends early most days, but lectures are hard as all hell to follow and the assignments suck",0,0,"Oct 16th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2107,Great guy,0,0,"Sep 19th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,3,4,AVERAGE,POL2107,"He's super sweet and clearly loves the subject he teaches, but he's sooo hard to follow. He doesn't use powerpoints, so ur just following his talking. This wouldn't be that bad if it weren't for the fact that he talks fast, uses lots of big terms, and doesn't repeat anything. The parts of the lecture I DO manage to get down are interesting tho",0,0,"Sep 12th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL2107,"The best Political Science prof at uOttawa, might honestly be one of the best profs in uOttawa in general. He is really accessible outside of class and is always willing to provide feedback for papers and exams. Very reasonable grading criteria for papers as well",0,0,"Jul 8th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL1101,"I took his Intro to Political Thought class in the summer. I suggest sitting in the front because he isnt that loud but he truly knows his stuff and can answer any question being clear. We had a takehome midterm that was 40%, the final was 60%. As long as you come to class and pay attention you should get a A-/A. Amazing and funny prof.",0,0,"May 8th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,1,AWESOME,POL3162,"No powerpoints, he just sits there and reads off the material. The only difficulty in this class is typing fast enough to keep up with what he's saying. Essays are easy, you pick your own topic and he gives you the exam questions in advance. Easy peasy lemon squeezy.",0,0,"Apr 4th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,3,AWESOME,POL2108,"Outstanding prof. A lot of people skip his lectures - don't. His lectures perfectly prepare you for the final exam. Not to mention, he's a pretty easy marker. Oh, also, he ALWAYS ends class early. Take his class if you can!",0,0,"Apr 3rd, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,2,AWESOME,POL2108,"Wolfgang is so dope. Super funny guy, and his course material isn't hard to understand. Lectures are a little dry I will admit, but the course is easy so that's fine.",0,0,"Mar 19th, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,3,3,AVERAGE,POL2107,"Professor Koerner has a very clear structure of the class. There are two essays and a final, and the essays are easy enough. Although he is a very sweet guy, his lectures are super dry and you honestly do not have to attend any of them to do well. He always ends a three hour lecture early - about an hour/hour and a half into the lecture.",0,0,"Jan 3rd, 2019"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,3,AWESOME,POL2107,"Wolfgang is amazing if you want a 7-10 that lets you out at 8. His lectures are dry, but short. there are 2 papers, worth 30% and then an exam worth 40% that he gives you the questions for in advance. If you google your info you can still get an A. I hardly showed up and got an easy A, just have an opinion about the content and you will be fine.",0,0,"Dec 16th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2107,"BEST Prof Ever, super nice, amazing and understandable- sometimes the lectures can end up all over the place, but the means good! mark summary; 2 essays worth 30% each and a 40% final (with cheat sheet) final",0,0,"Dec 13th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2107,"Literally the best professor I have ever gotten. I personally hate going to any classes and Im a student who skips, but this prof? Don't wanna skip his classes ever because they are literally the best. Gives us the questions to the exam prior, cheat sheet allowed, bumped me almost 20%. The best.",1,0,"Nov 27th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL1100,Worlfgang is the best example of a teacher who enjoys doing what he does. He made class worth showing up to and gave concrete current examples from todays political life. I would highly recommend taking this teacher as I hope to have him as a teacher again in the future.,3,0,"May 9th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,2,AWESOME,POL2107,"Amazing prof. Never runs class longer than he needs to. Lectures are dry, but he's hilarious and always cracking jokes to liven the mood. He uses a format of essay-essay-final for both POL 2107 & 2108. He gives you the final exam questions a few weeks early and lets you bring a single sheet of notes. If you keep up with lectures it is an easy A.",5,1,"Apr 26th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,2,AWESOME,POL2107,"Amazing prof! Definitely recommend! Beware, his lectures can be dry but no need to worry as essays and exams are easy. Lets you bring a cheat sheet to exam and gives you questions in advance.",2,0,"Mar 4th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL3162A,"An amazing professor who is kind, knowledgeable, caring, understanding and genuinely wants his students to do well. I recommend him to anyone who is interested in political science or who is looking for an easy elective. He is very flexible in terms of the essays (two short ones must be written) and distributes the exam questions before hand.",2,0,"Jan 30th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,2,AWESOME,POL2017,"Supper funny prof! 7-10 class and he'd keep us until 8:45 max. Honestly, dont bother buying the text books or even going to class. You have 2 papers to do and you can easily google all your info. The final was 3 question (out of 5 but you pick the 3 you want) Qs and he gave them to us in advance PLUS allowed us a cheat-sheet. Easy A class!",2,0,"Jan 19th, 2018"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,3,3,AVERAGE,POL2107,"Pretty cool dude. Kinda hard to follow during his lectures because he has a tendency to mumble, but he never went more than two hours into a three-hour night lecture which was awesome. Only two 25% papers and a 50% final so your assignments really matter. I taught myself the course and you will probably have to too.",5,0,"Dec 21st, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2107,"Amazing prof- very funny and makes his lectures worthwhile. If you end up having a 3 hour with him it's often that he lets students leave early. There's no blackboard for this course so its most definitely worthwhile to attend lectures, but he is very approachable about the class material. Take Wolfgang every chance you can.",3,0,"Dec 13th, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,2,AWESOME,POL2107,"Good guy, really knows his stuff. By far the kindest prof at the university. His lectures were a bit dry, but he always kept them on the short side. He made jokes that lightened up the mood and was always available to answer questions outside of class. A really great guy, I would definitely try and take him again.",3,0,"Nov 15th, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2107,"He is really helpful and ensures that each and every student is understanding the course, you just need to ask him in case you find any difficulties and he will guide you very smoothly.",1,0,"Nov 10th, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL2107,"This prof is an actual gem. He's so nice and makes sure that all the material is understood. Assignments are straight forward and based on lecture content. The way he explains the subject is so efficient when you're trying to remember all the content. The book isn't needed, you can just read the texts online. Amazing prof - would take again!",3,0,"Oct 21st, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,2,AWESOME,POL1101,"I LOVED THIS PROF. He made sure that every students questions were answered, he gave students a choice on the final of a long take-home or a short in class. His lectures almost never went all the way to the end. I had him 7-10 and I think the latest we stayed was 8:45. I would walk on hot coals to take another class with him. 10/10 would take again",7,0,"May 16th, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL3102,"Take Koerner's classes every opportunity you have. Heck, i would take a Friday 8am Nuclear Physics class with him if he was the prof. He's very accomadating and easily accessible, and you just need to regurgitate the main points for his lectures on assessments to get an easy A.",14,1,"Apr 23rd, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,2,AWESOME,POL3102,"He is one of the nicest prof I ever had at UOttawa. He really cares about students. His lectures may be a little dry, but if you read the texts in advance you follow pretty well. Go see him at office hours to get feedback before submitting your essay. He is really helpful.",2,0,"Mar 31st, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,3,AWESOME,POL3102,"Outstanding prof, a true shame he isn't tenured, I owe so much to this man's lectures",2,0,"Mar 22nd, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,5,1,AWESOME,POL2108,"Koerner is very accommodating and extremely nice. As others said - no blackboard, if you attend all the lectures you don't need the books. If you do skip, he did a recap of all the important points you need to know ahead of each assessment, so skipping one or two classes won't set you back (+ he gives you ample time to prepare for assessments).",1,0,"Mar 16th, 2017"
9310,Wolfgang Koerner,University of Ottawa,Political Science department,4,3,AWESOME,POL2107,"Wolfgang's the type of professor that you'd want to sit down and have a coffee with just to hear him talk. He's extremely knowledgeable, and articulates the arguments of political thinkers with remarkable eloquence. Make sure to show up to class and be prepared to write a lot of notes, as he doesn't use Blackboard.",2,0,"Mar 8th, 2017"
